competition,match_stage,date,venue,club,opponent,match_score,player_position,goal_minute,score_at_goal,goal_type,assist_player,season,goal_decade,is_home_goal,goal_minute_bucket
LaLiga,25,2011-02-26,Away,FC Barcelona,RCD Mallorca,0:3,CF,38,0:1,Header,Seydou Keita,2010-11,2010s,False,31-45
LaLiga,26,2011-03-02,Away,FC Barcelona,Valencia CF,0:1,CF,77,0:1,Left-footed shot,Adriano,2010-11,2010s,False,76-90
UEFA Champions League,Round of 16,2011-03-08,Home,FC Barcelona,Arsenal FC,3:1,CF,49,1:0,Left-footed shot,Andrés Iniesta,2010-11,2010s,True,46-60
UEFA Champions League,Round of 16,2011-03-08,Home,FC Barcelona,Arsenal FC,3:1,CF,72,3:1,Penalty,Not Applicable,2010-11,2010s,True,61-75
LaLiga,31,2011-04-09,Home,FC Barcelona,UD Almería,3:1,CF,52,1:1,Penalty,Not Applicable,2010-11,2010s,True,46-60
LaLiga,31,2011-04-09,Home,FC Barcelona,UD Almería,3:1,CF,91,3:1,Left-footed shot,Seydou Keita,2010-11,2010s,True,91+
UEFA Champions League,Quarter-Finals,2011-04-12,Away,FC Barcelona,Shakhtar Donetsk,0:1,CF,42,0:1,Left-footed shot,Dani Alves,2010-11,2010s,False,31-45
LaLiga,32,2011-04-16,Away,FC Barcelona,Real Madrid,1:1,CF,53,0:1,Penalty,Not Applicable,2010-11,2010s,False,46-60
LaLiga,33,2011-04-23,Home,FC Barcelona,CA Osasuna,2:0,CF,87,2:0,Right-footed shot,Dani Alves,2010-11,2010s,True,76-90
UEFA Champions League,Semi-Finals,2011-04-27,Away,FC Barcelona,Real Madrid,0:2,CF,76,0:1,Left-footed shot,Ibrahim Afellay,2010-11,2010s,False,76-90
UEFA Champions League,Semi-Finals,2011-04-27,Away,FC Barcelona,Real Madrid,0:2,CF,87,0:2,Solo run,Sergio Busquets,2010-11,2010s,False,76-90
UEFA Champions League,Final,2011-05-28,Home,FC Barcelona,Manchester United,3:1,CF,54,2:1,Left-footed shot,Andrés Iniesta,2010-11,2010s,True,46-60
Supercopa,Final,2011-08-14,Away,FC Barcelona,Real Madrid,2:2,CF,45,1:2,Left-footed shot,Alexis Sánchez,2011-12,2010s,False,31-45
Supercopa,Final,2011-08-17,Home,FC Barcelona,Real Madrid,3:2,CF,44,2:1,Right-footed shot,Gerard Piqué,2011-12,2010s,True,31-45
Supercopa,Final,2011-08-17,Home,FC Barcelona,Real Madrid,3:2,CF,88,3:2,Left-footed shot,Adriano,2011-12,2010s,True,76-90
UEFA Super Cup,Final,2011-08-26,Home,FC Barcelona,FC Porto,2:0,CF,39,1:0,Left-footed shot,Not Applicable,2011-12,2010s,True,31-45
LaLiga,2,2011-08-29,Home,FC Barcelona,Villarreal CF,5:0,CF,51,4:0,Right-footed shot,Andrés Iniesta,2011-12,2010s,True,46-60
LaLiga,2,2011-08-29,Home,FC Barcelona,Villarreal CF,5:0,CF,74,5:0,Left-footed shot,Thiago Alcántara,2011-12,2010s,True,61-75
LaLiga,4,2011-09-17,Home,FC Barcelona,CA Osasuna,8:0,CF,5,1:0,Left-footed shot,Dani Alves,2011-12,2010s,True,0-15
LaLiga,4,2011-09-17,Home,FC Barcelona,CA Osasuna,8:0,CF,41,5:0,Left-footed shot,Cesc Fàbregas,2011-12,2010s,True,31-45
LaLiga,4,2011-09-17,Home,FC Barcelona,CA Osasuna,8:0,CF,79,8:0,Left-footed shot,Cesc Fàbregas,2011-12,2010s,True,76-90
LaLiga,6,2011-09-24,Home,FC Barcelona,Atlético de Madrid,5:0,CF,26,3:0,Left-footed shot,Pedro,2011-12,2010s,True,16-30
LaLiga,6,2011-09-24,Home,FC Barcelona,Atlético de Madrid,5:0,CF,78,4:0,Left-footed shot,Dani Alves,2011-12,2010s,True,76-90
LaLiga,6,2011-09-24,Home,FC Barcelona,Atlético de Madrid,5:0,CF,91,5:0,Left-footed shot,David Villa,2011-12,2010s,True,91+
UEFA Champions League,Group Stage,2011-09-28,Away,FC Barcelona,BATE Borisov,0:5,CF,38,0:3,Header,Not Applicable,2011-12,2010s,False,31-45
UEFA Champions League,Group Stage,2011-09-28,Away,FC Barcelona,BATE Borisov,0:5,CF,56,0:4,Left-footed shot,Dani Alves,2011-12,2010s,False,46-60
LaLiga,8,2011-10-15,Home,FC Barcelona,Racing Santander,3:0,CF,11,1:0,Right-footed shot,Andrés Iniesta,2011-12,2010s,True,0-15
LaLiga,8,2011-10-15,Home,FC Barcelona,Racing Santander,3:0,CF,69,3:0,Right-footed shot,Not Applicable,2011-12,2010s,True,61-75
LaLiga,11,2011-10-29,Home,FC Barcelona,RCD Mallorca,5:0,CF,13,1:0,Penalty,Not Applicable,2011-12,2010s,True,0-15
LaLiga,11,2011-10-29,Home,FC Barcelona,RCD Mallorca,5:0,CF,21,2:0,Right-footed shot,Adriano,2011-12,2010s,True,16-30
LaLiga,11,2011-10-29,Home,FC Barcelona,RCD Mallorca,5:0,CF,30,3:0,Left-footed shot,Dani Alves,2011-12,2010s,True,16-30
UEFA Champions League,Group Stage,2011-11-01,Away,FC Barcelona,FC Viktoria Plzen,0:4,CF,24,0:1,Penalty,Not Applicable,2011-12,2010s,False,16-30
UEFA Champions League,Group Stage,2011-11-01,Away,FC Barcelona,FC Viktoria Plzen,0:4,CF,47,0:2,Left-footed shot,Adriano,2011-12,2010s,False,46-60
UEFA Champions League,Group Stage,2011-11-01,Away,FC Barcelona,FC Viktoria Plzen,0:4,CF,92,0:4,Left-footed shot,Gerard Piqué,2011-12,2010s,False,91+
LaLiga,12,2011-11-06,Away,FC Barcelona,Athletic Bilbao,2:2,CF,90,2:2,Left-footed shot,Not Applicable,2011-12,2010s,False,76-90
LaLiga,13,2011-11-19,Home,FC Barcelona,Real Zaragoza,4:0,CF,43,2:0,Right-footed shot,Cesc Fàbregas,2011-12,2010s,True,31-45
UEFA Champions League,Group Stage,2011-11-23,Away,FC Barcelona,AC Milan,2:3,CF,31,1:2,Penalty,Not Applicable,2011-12,2010s,False,31-45
LaLiga,17,2011-11-29,Home,FC Barcelona,Rayo Vallecano,4:0,CF,49,4:0,Left-footed shot,Dani Alves,2011-12,2010s,True,46-60
LaLiga,15,2011-12-03,Home,FC Barcelona,Levante UD,5:0,CF,55,4:0,Left-footed shot,Dani Alves,2011-12,2010s,True,46-60
Club World Cup,Final,2011-12-18,Away,FC Barcelona,Santos FC,0:4,RW,17,0:1,Left-footed shot,Xavi,2011-12,2010s,False,16-30
Club World Cup,Final,2011-12-18,Away,FC Barcelona,Santos FC,0:4,RW,82,0:4,Left-footed shot,Dani Alves,2011-12,2010s,False,76-90
Copa del Rey,Round of 16,2012-01-04,Home,FC Barcelona,CA Osasuna,4:0,CF,71,3:0,Header,Cesc Fàbregas,2011-12,2010s,True,61-75
Copa del Rey,Round of 16,2012-01-04,Home,FC Barcelona,CA Osasuna,4:0,CF,90,4:0,Left-footed shot,Xavi,2011-12,2010s,True,76-90
LaLiga,19,2012-01-15,Home,FC Barcelona,Real Betis Balompié,4:2,CF,12,2:0,Right-footed shot,Alexis Sánchez,2011-12,2010s,True,0-15
LaLiga,19,2012-01-15,Home,FC Barcelona,Real Betis Balompié,4:2,CF,86,4:2,Penalty,Not Applicable,2011-12,2010s,True,76-90
LaLiga,1,2012-01-22,Away,FC Barcelona,Málaga CF,1:4,CF,32,0:1,Header,Adriano,2011-12,2010s,False,31-45
LaLiga,1,2012-01-22,Away,FC Barcelona,Málaga CF,1:4,CF,51,0:3,Left-footed shot,Thiago Alcántara,2011-12,2010s,False,46-60
LaLiga,1,2012-01-22,Away,FC Barcelona,Málaga CF,1:4,CF,77,0:4,Left-footed shot,Pedro,2011-12,2010s,False,76-90
LaLiga,22,2012-02-04,Home,FC Barcelona,Real Sociedad,2:1,CF,72,2:0,Left-footed shot,Dani Alves,2011-12,2010s,True,61-75
UEFA Champions League,Round of 16,2012-02-14,Away,FC Barcelona,Bayer 04 Leverkusen,1:3,CF,88,1:3,Left-footed shot,Dani Alves,2011-12,2010s,False,76-90
LaLiga,24,2012-02-19,Home,FC Barcelona,Valencia CF,5:1,CF,21,1:1,Left-footed shot,Not Applicable,2011-12,2010s,True,16-30
LaLiga,24,2012-02-19,Home,FC Barcelona,Valencia CF,5:1,CF,27,2:1,Tap-in,Not Applicable,2011-12,2010s,True,16-30
LaLiga,24,2012-02-19,Home,FC Barcelona,Valencia CF,5:1,CF,75,3:1,Left-footed shot,Cristian Tello,2011-12,2010s,True,61-75
LaLiga,24,2012-02-19,Home,FC Barcelona,Valencia CF,5:1,CF,84,4:1,Left-footed shot,Sergio Busquets,2011-12,2010s,True,76-90
LaLiga,25,2012-02-26,Away,FC Barcelona,Atlético de Madrid,1:2,CF,79,1:2,Direct free kick,Not Applicable,2011-12,2010s,False,76-90
UEFA Champions League,Round of 16,2012-03-07,Home,FC Barcelona,Bayer 04 Leverkusen,7:1,CF,25,1:0,Left-footed shot,Xavi,2011-12,2010s,True,16-30
UEFA Champions League,Round of 16,2012-03-07,Home,FC Barcelona,Bayer 04 Leverkusen,7:1,CF,42,2:0,Left-footed shot,Andrés Iniesta,2011-12,2010s,True,31-45
UEFA Champions League,Round of 16,2012-03-07,Home,FC Barcelona,Bayer 04 Leverkusen,7:1,CF,50,3:0,Right-footed shot,Cesc Fàbregas,2011-12,2010s,True,46-60
UEFA Champions League,Round of 16,2012-03-07,Home,FC Barcelona,Bayer 04 Leverkusen,7:1,CF,58,5:0,Left-footed shot,Not Applicable,2011-12,2010s,True,46-60
UEFA Champions League,Round of 16,2012-03-07,Home,FC Barcelona,Bayer 04 Leverkusen,7:1,CF,85,7:0,Left-footed shot,Seydou Keita,2011-12,2010s,True,76-90
LaLiga,27,2012-03-11,Away,FC Barcelona,Racing Santander,0:2,CF,29,0:1,Left-footed shot,Cesc Fàbregas,2011-12,2010s,False,16-30
LaLiga,27,2012-03-11,Away,FC Barcelona,Racing Santander,0:2,CF,56,0:2,Penalty,Not Applicable,2011-12,2010s,False,46-60
LaLiga,28,2012-03-17,Away,FC Barcelona,Sevilla FC,0:2,CF,25,0:2,Left-footed shot,Andrés Iniesta,2011-12,2010s,False,16-30
LaLiga,29,2012-03-20,Home,FC Barcelona,Granada CF,5:3,CF,16,2:0,Left-footed shot,Isaac Cuenca,2011-12,2010s,True,16-30
LaLiga,29,2012-03-20,Home,FC Barcelona,Granada CF,5:3,CF,66,3:2,Left-footed shot,Dani Alves,2011-12,2010s,True,61-75
LaLiga,29,2012-03-20,Home,FC Barcelona,Granada CF,5:3,CF,85,5:2,Left-footed shot,Dani Alves,2011-12,2010s,True,76-90
LaLiga,30,2012-03-24,Away,FC Barcelona,RCD Mallorca,0:2,CF,25,0:1,Direct free kick,Not Applicable,2011-12,2010s,False,16-30
LaLiga,31,2012-03-31,Home,FC Barcelona,Athletic Bilbao,2:0,CF,57,2:0,Penalty,Not Applicable,2011-12,2010s,True,46-60
UEFA Champions League,Quarter-Finals,2012-04-03,Home,FC Barcelona,AC Milan,3:1,RW,11,1:0,Penalty,Not Applicable,2011-12,2010s,True,0-15
UEFA Champions League,Quarter-Finals,2012-04-03,Home,FC Barcelona,AC Milan,3:1,RW,42,2:1,Penalty,Not Applicable,2011-12,2010s,True,31-45
LaLiga,32,2012-04-07,Away,FC Barcelona,Real Zaragoza,1:4,CF,39,1:2,Left-footed shot,Alexis Sánchez,2011-12,2010s,False,31-45
LaLiga,32,2012-04-07,Away,FC Barcelona,Real Zaragoza,1:4,CF,86,1:3,Penalty,Not Applicable,2011-12,2010s,False,76-90
LaLiga,33,2012-04-10,Home,FC Barcelona,Getafe CF,4:0,CF,44,2:0,Left-footed shot,Andrés Iniesta,2011-12,2010s,True,31-45
LaLiga,34,2012-04-14,Away,FC Barcelona,Levante UD,1:2,CF,64,1:1,Left-footed shot,Alexis Sánchez,2011-12,2010s,False,61-75
LaLiga,34,2012-04-14,Away,FC Barcelona,Levante UD,1:2,CF,73,1:2,Penalty,Not Applicable,2011-12,2010s,False,61-75
LaLiga,36,2012-04-29,Away,FC Barcelona,Rayo Vallecano,0:7,CF,16,0:1,Left-footed shot,Pedro,2011-12,2010s,False,16-30
LaLiga,36,2012-04-29,Away,FC Barcelona,Rayo Vallecano,0:7,CF,88,0:7,Left-footed shot,Pedro,2011-12,2010s,False,76-90
LaLiga,20,2012-05-02,Home,FC Barcelona,Málaga CF,4:1,CF,34,2:1,Penalty,Not Applicable,2011-12,2010s,True,31-45
LaLiga,20,2012-05-02,Home,FC Barcelona,Málaga CF,4:1,CF,60,3:1,Penalty,Not Applicable,2011-12,2010s,True,46-60
LaLiga,20,2012-05-02,Home,FC Barcelona,Málaga CF,4:1,CF,63,4:1,Left-footed shot,Andrés Iniesta,2011-12,2010s,True,61-75
LaLiga,37,2012-05-05,Home,FC Barcelona,RCD Espanyol Barcelona,4:0,CF,11,1:0,Direct free kick,Not Applicable,2011-12,2010s,True,0-15
LaLiga,37,2012-05-05,Home,FC Barcelona,RCD Espanyol Barcelona,4:0,CF,63,2:0,Penalty,Not Applicable,2011-12,2010s,True,61-75
LaLiga,37,2012-05-05,Home,FC Barcelona,RCD Espanyol Barcelona,4:0,CF,73,3:0,Left-footed shot,Adriano,2011-12,2010s,True,61-75
LaLiga,37,2012-05-05,Home,FC Barcelona,RCD Espanyol Barcelona,4:0,CF,78,4:0,Penalty,Not Applicable,2011-12,2010s,True,76-90
Copa del Rey,Final,2012-05-25,Home,FC Barcelona,Athletic Bilbao,3:0,CF,20,2:0,Right-footed shot,Andrés Iniesta,2011-12,2010s,True,16-30
LaLiga,1,2012-08-19,Home,FC Barcelona,Real Sociedad,5:1,CF,11,2:1,Left-footed shot,Pedro,2012-13,2010s,True,0-15
LaLiga,1,2012-08-19,Home,FC Barcelona,Real Sociedad,5:1,CF,16,3:1,Left-footed shot,Cristian Tello,2012-13,2010s,True,16-30
Supercopa,Final,2012-08-23,Home,FC Barcelona,Real Madrid,3:2,CF,70,2:1,Penalty,Not Applicable,2012-13,2010s,True,61-75
LaLiga,2,2012-08-26,Away,FC Barcelona,CA Osasuna,1:2,CF,76,1:1,Left-footed shot,Alexis Sánchez,2012-13,2010s,False,76-90
LaLiga,2,2012-08-26,Away,FC Barcelona,CA Osasuna,1:2,CF,80,1:2,Left-footed shot,Jordi Alba,2012-13,2010s,False,76-90
Supercopa,Final,2012-08-29,Away,FC Barcelona,Real Madrid,2:1,CF,45,2:1,Direct free kick,Not Applicable,2012-13,2010s,False,31-45
LaLiga,4,2012-09-15,Away,FC Barcelona,Getafe CF,1:4,CF,74,0:2,Penalty,Not Applicable,2012-13,2010s,False,61-75
LaLiga,4,2012-09-15,Away,FC Barcelona,Getafe CF,1:4,CF,78,0:3,Left-footed shot,Pedro,2012-13,2010s,False,76-90
UEFA Champions League,Group Stage,2012-09-19,Home,FC Barcelona,Spartak Moscow,3:2,CF,71,2:2,Left-footed shot,Cristian Tello,2012-13,2010s,True,61-75
UEFA Champions League,Group Stage,2012-09-19,Home,FC Barcelona,Spartak Moscow,3:2,CF,80,3:2,Header,Alexis Sánchez,2012-13,2010s,True,76-90
LaLiga,7,2012-10-07,Home,FC Barcelona,Real Madrid,2:2,CF,31,1:1,Left-footed shot,Not Applicable,2012-13,2010s,True,31-45
LaLiga,7,2012-10-07,Home,FC Barcelona,Real Madrid,2:2,CF,60,2:1,Direct free kick,Not Applicable,2012-13,2010s,True,46-60
LaLiga,8,2012-10-20,Away,FC Barcelona,Deportivo de La Coruña,4:5,CF,17,0:3,Left-footed shot,Cesc Fàbregas,2012-13,2010s,False,16-30
LaLiga,8,2012-10-20,Away,FC Barcelona,Deportivo de La Coruña,4:5,CF,43,2:4,Left-footed shot,Cesc Fàbregas,2012-13,2010s,False,31-45
LaLiga,8,2012-10-20,Away,FC Barcelona,Deportivo de La Coruña,4:5,CF,76,3:5,Left-footed shot,Xavi,2012-13,2010s,False,76-90
LaLiga,9,2012-10-27,Away,FC Barcelona,Rayo Vallecano,0:5,CF,48,0:2,Left-footed shot,Martín Montoya,2012-13,2010s,False,46-60
LaLiga,9,2012-10-27,Away,FC Barcelona,Rayo Vallecano,0:5,CF,89,0:5,Right-footed shot,Cesc Fàbregas,2012-13,2010s,False,76-90
UEFA Champions League,Group Stage,2012-11-07,Away,FC Barcelona,Celtic FC,2:1,CF,91,2:1,Tap-in,Not Applicable,2012-13,2010s,False,91+
LaLiga,11,2012-11-11,Away,FC Barcelona,RCD Mallorca,2:4,CF,43,0:2,Left-footed shot,Sergio Busquets,2012-13,2010s,False,31-45
LaLiga,11,2012-11-11,Away,FC Barcelona,RCD Mallorca,2:4,CF,70,2:4,Left-footed shot,Alexis Sánchez,2012-13,2010s,False,61-75
LaLiga,12,2012-11-17,Home,FC Barcelona,Real Zaragoza,3:1,CF,15,1:0,Left-footed shot,Jordi Alba,2012-13,2010s,True,0-15
LaLiga,12,2012-11-17,Home,FC Barcelona,Real Zaragoza,3:1,CF,60,3:1,Left-footed shot,Martín Montoya,2012-13,2010s,True,46-60
UEFA Champions League,Group Stage,2012-11-20,Away,FC Barcelona,Spartak Moscow,0:3,CF,27,0:2,Right-footed shot,Not Applicable,2012-13,2010s,False,16-30
UEFA Champions League,Group Stage,2012-11-20,Away,FC Barcelona,Spartak Moscow,0:3,CF,39,0:3,Left-footed shot,Pedro,2012-13,2010s,False,31-45
LaLiga,13,2012-11-25,Away,FC Barcelona,Levante UD,0:4,CF,46,0:1,Left-footed shot,Andrés Iniesta,2012-13,2010s,False,46-60
LaLiga,13,2012-11-25,Away,FC Barcelona,Levante UD,0:4,CF,51,0:2,Left-footed shot,Andrés Iniesta,2012-13,2010s,False,46-60
LaLiga,14,2012-12-01,Home,FC Barcelona,Athletic Bilbao,5:1,CF,25,2:0,Left-footed shot,Xavi,2012-13,2010s,True,16-30
LaLiga,14,2012-12-01,Home,FC Barcelona,Athletic Bilbao,5:1,CF,70,5:1,Right-footed shot,Pedro,2012-13,2010s,True,61-75
LaLiga,15,2012-12-09,Away,FC Barcelona,Real Betis Balompié,1:2,CF,16,0:1,Left-footed shot,Andrés Iniesta,2012-13,2010s,False,16-30
LaLiga,15,2012-12-09,Away,FC Barcelona,Real Betis Balompié,1:2,CF,25,0:2,Left-footed shot,Andrés Iniesta,2012-13,2010s,False,16-30
Copa del Rey,Round of 16,2012-12-12,Away,FC Barcelona,Córdoba CF,0:2,CF,10,0:1,Left-footed shot,David Villa,2012-13,2010s,False,0-15
Copa del Rey,Round of 16,2012-12-12,Away,FC Barcelona,Córdoba CF,0:2,CF,73,0:2,Left-footed shot,Alexis Sánchez,2012-13,2010s,False,61-75
LaLiga,16,2012-12-16,Home,FC Barcelona,Atlético de Madrid,4:1,CF,58,3:1,Left-footed shot,Alexis Sánchez,2012-13,2010s,True,46-60
LaLiga,16,2012-12-16,Home,FC Barcelona,Atlético de Madrid,4:1,CF,88,4:1,Left-footed shot,Not Applicable,2012-13,2010s,True,76-90
LaLiga,17,2012-12-22,Away,FC Barcelona,Real Valladolid CF,1:3,CF,59,0:2,Left-footed shot,Xavi,2012-13,2010s,False,46-60
LaLiga,18,2013-01-06,Home,FC Barcelona,RCD Espanyol Barcelona,4:0,CF,28,4:0,Penalty,Not Applicable,2012-13,2010s,True,16-30
LaLiga,19,2013-01-13,Away,FC Barcelona,Málaga CF,1:3,CF,26,0:1,Right-footed shot,Not Applicable,2012-13,2010s,False,16-30
Copa del Rey,Quarter-Finals,2013-01-16,Home,FC Barcelona,Málaga CF,2:2,CF,29,1:1,Left-footed shot,Not Applicable,2012-13,2010s,True,16-30
LaLiga,20,2013-01-19,Away,FC Barcelona,Real Sociedad,3:2,CF,6,0:1,Left-footed shot,Andrés Iniesta,2012-13,2010s,False,0-15
Copa del Rey,Quarter-Finals,2013-01-24,Away,FC Barcelona,Málaga CF,2:4,CF,79,2:4,Header,Dani Alves,2012-13,2010s,False,76-90
LaLiga,21,2013-01-27,Home,FC Barcelona,CA Osasuna,5:1,CF,11,1:0,Right-footed shot,Xavi,2012-13,2010s,True,0-15
LaLiga,21,2013-01-27,Home,FC Barcelona,CA Osasuna,5:1,CF,28,2:1,Penalty,Not Applicable,2012-13,2010s,True,16-30
LaLiga,21,2013-01-27,Home,FC Barcelona,CA Osasuna,5:1,CF,56,4:1,Left-footed shot,David Villa,2012-13,2010s,True,46-60
LaLiga,21,2013-01-27,Home,FC Barcelona,CA Osasuna,5:1,CF,58,5:1,Left-footed shot,Adriano,2012-13,2010s,True,46-60
LaLiga,22,2013-02-03,Away,FC Barcelona,Valencia CF,1:1,CF,39,1:1,Penalty,Not Applicable,2012-13,2010s,False,31-45
LaLiga,23,2013-02-10,Home,FC Barcelona,Getafe CF,6:1,CF,13,2:0,Left-footed shot,Thiago Alcántara,2012-13,2010s,True,0-15
LaLiga,24,2013-02-16,Away,FC Barcelona,Granada CF,1:2,CF,49,1:1,Left-footed shot,Not Applicable,2012-13,2010s,False,46-60
LaLiga,24,2013-02-16,Away,FC Barcelona,Granada CF,1:2,CF,73,1:2,Direct free kick,Not Applicable,2012-13,2010s,False,61-75
LaLiga,25,2013-02-23,Home,FC Barcelona,Sevilla FC,2:1,CF,60,2:1,Left-footed shot,Cristian Tello,2012-13,2010s,True,46-60
LaLiga,26,2013-03-02,Away,FC Barcelona,Real Madrid,2:1,CF,18,1:1,Left-footed shot,Dani Alves,2012-13,2010s,False,16-30
LaLiga,27,2013-03-09,Home,FC Barcelona,Deportivo de La Coruña,2:0,CF,88,2:0,Left-footed shot,Alexis Sánchez,2012-13,2010s,True,76-90
UEFA Champions League,Round of 16,2013-03-12,Home,FC Barcelona,AC Milan,4:0,CF,5,1:0,Left-footed shot,Xavi,2012-13,2010s,True,0-15
UEFA Champions League,Round of 16,2013-03-12,Home,FC Barcelona,AC Milan,4:0,CF,40,2:0,Left-footed shot,Andrés Iniesta,2012-13,2010s,True,31-45
LaLiga,28,2013-03-17,Home,FC Barcelona,Rayo Vallecano,3:1,CF,40,2:0,Left-footed shot,David Villa,2012-13,2010s,True,31-45
LaLiga,28,2013-03-17,Home,FC Barcelona,Rayo Vallecano,3:1,CF,57,3:0,Left-footed shot,David Villa,2012-13,2010s,True,46-60
LaLiga,29,2013-03-30,Away,FC Barcelona,Celta de Vigo,2:2,CF,73,1:2,Left-footed shot,Cristian Tello,2012-13,2010s,False,61-75
UEFA Champions League,Quarter-Finals,2013-04-02,Away,FC Barcelona,Paris Saint-Germain,2:2,CF,38,0:1,Left-footed shot,Dani Alves,2012-13,2010s,False,31-45
LaLiga,33,2013-04-27,Away,FC Barcelona,Athletic Bilbao,2:2,CF,67,1:1,Left-footed shot,Thiago Alcántara,2012-13,2010s,False,61-75
LaLiga,34,2013-05-05,Home,FC Barcelona,Real Betis Balompié,4:2,CF,60,3:2,Direct free kick,Not Applicable,2012-13,2010s,True,46-60
LaLiga,34,2013-05-05,Home,FC Barcelona,Real Betis Balompié,4:2,CF,71,4:2,Left-footed shot,Alexis Sánchez,2012-13,2010s,True,61-75
LaLiga,1,2013-08-18,Home,FC Barcelona,Levante UD,7:0,CF,13,2:0,Left-footed shot,Pedro,2013-14,2010s,True,0-15
LaLiga,1,2013-08-18,Home,FC Barcelona,Levante UD,7:0,CF,42,5:0,Penalty,Not Applicable,2013-14,2010s,True,31-45
LaLiga,3,2013-09-01,Away,FC Barcelona,Valencia CF,2:3,CF,11,0:1,Left-footed shot,Cesc Fàbregas,2013-14,2010s,False,0-15
LaLiga,3,2013-09-01,Away,FC Barcelona,Valencia CF,2:3,CF,38,0:2,Right-footed shot,Cesc Fàbregas,2013-14,2010s,False,31-45
LaLiga,3,2013-09-01,Away,FC Barcelona,Valencia CF,2:3,CF,41,0:3,Left-footed shot,Neymar,2013-14,2010s,False,31-45
LaLiga,4,2013-09-14,Home,FC Barcelona,Sevilla FC,3:2,CF,75,2:0,Left-footed shot,Neymar,2013-14,2010s,True,61-75
UEFA Champions League,Group Stage,2013-09-18,Home,FC Barcelona,Ajax Amsterdam,4:0,CF,22,1:0,Direct free kick,Not Applicable,2013-14,2010s,True,16-30
UEFA Champions League,Group Stage,2013-09-18,Home,FC Barcelona,Ajax Amsterdam,4:0,CF,55,2:0,Left-footed shot,Sergio Busquets,2013-14,2010s,True,46-60
UEFA Champions League,Group Stage,2013-09-18,Home,FC Barcelona,Ajax Amsterdam,4:0,CF,75,4:0,Left-footed shot,Xavi,2013-14,2010s,True,61-75
LaLiga,6,2013-09-24,Home,FC Barcelona,Real Sociedad,4:1,CF,8,2:0,Header,Neymar,2013-14,2010s,True,0-15
LaLiga,7,2013-09-28,Away,FC Barcelona,UD Almería,0:2,CF,21,0:1,Left-footed shot,Pedro,2013-14,2010s,False,16-30
UEFA Champions League,Group Stage,2013-10-22,Away,FC Barcelona,AC Milan,1:1,CF,23,1:1,Left-footed shot,Andrés Iniesta,2013-14,2010s,False,16-30
UEFA Champions League,Group Stage,2013-11-06,Home,FC Barcelona,AC Milan,3:1,CF,30,1:0,Penalty,Not Applicable,2013-14,2010s,True,16-30
UEFA Champions League,Group Stage,2013-11-06,Home,FC Barcelona,AC Milan,3:1,CF,83,3:1,Left-footed shot,Cesc Fàbregas,2013-14,2010s,True,76-90
Copa del Rey,Round of 16,2014-01-08,Home,FC Barcelona,Getafe CF,4:0,CF,90,3:0,Left-footed shot,Martín Montoya,2013-14,2010s,True,76-90
Copa del Rey,Round of 16,2014-01-08,Home,FC Barcelona,Getafe CF,4:0,CF,92,4:0,Left-footed shot,Alex Song,2013-14,2010s,True,91+
Copa del Rey,Round of 16,2014-01-16,Away,FC Barcelona,Getafe CF,0:2,CF,43,0:1,Right-footed shot,Cristian Tello,2013-14,2010s,False,31-45
Copa del Rey,Round of 16,2014-01-16,Away,FC Barcelona,Getafe CF,0:2,CF,63,0:2,Left-footed shot,Not Applicable,2013-14,2010s,False,61-75
LaLiga,22,2014-02-01,Home,FC Barcelona,Valencia CF,2:3,CF,54,2:2,Penalty,Not Applicable,2013-14,2010s,True,46-60
LaLiga,23,2014-02-09,Away,FC Barcelona,Sevilla FC,1:4,CF,44,1:2,Left-footed shot,Pedro,2013-14,2010s,False,31-45
LaLiga,23,2014-02-09,Away,FC Barcelona,Sevilla FC,1:4,CF,56,1:3,Left-footed shot,Andrés Iniesta,2013-14,2010s,False,46-60
Copa del Rey,Semi-Finals,2014-02-12,Away,FC Barcelona,Real Sociedad,1:1,CF,27,0:1,Solo run,Not Applicable,2013-14,2010s,False,16-30
LaLiga,24,2014-02-15,Home,FC Barcelona,Rayo Vallecano,6:0,CF,36,2:0,Left-footed shot,Cesc Fàbregas,2013-14,2010s,True,31-45
LaLiga,24,2014-02-15,Home,FC Barcelona,Rayo Vallecano,6:0,CF,68,5:0,Left-footed shot,Alexis Sánchez,2013-14,2010s,True,61-75
UEFA Champions League,Round of 16,2014-02-18,Away,FC Barcelona,Manchester City,0:2,CF,54,0:1,Penalty,Not Applicable,2013-14,2010s,False,46-60
LaLiga,25,2014-02-22,Away,FC Barcelona,Real Sociedad,3:1,CF,36,1:1,Left-footed shot,Martín Montoya,2013-14,2010s,False,31-45
LaLiga,26,2014-03-02,Home,FC Barcelona,UD Almería,4:1,CF,24,2:0,Direct free kick,Not Applicable,2013-14,2010s,True,16-30
UEFA Champions League,Round of 16,2014-03-12,Home,FC Barcelona,Manchester City,2:1,CF,67,1:0,Left-footed shot,Not Applicable,2013-14,2010s,True,61-75
LaLiga,28,2014-03-16,Home,FC Barcelona,CA Osasuna,7:0,CF,18,1:0,Left-footed shot,Alexis Sánchez,2013-14,2010s,True,16-30
LaLiga,28,2014-03-16,Home,FC Barcelona,CA Osasuna,7:0,CF,63,4:0,Left-footed shot,Andrés Iniesta,2013-14,2010s,True,61-75
